country,year,sex,name,count
ES,1930,M,Jose,6095
ES,1930,M,Jose Antonio,738
ES,1930,M,Jose Luis,820
ES,1930,M,Jose Manuel,276
ES,1930,M,Jose Maria,902
ES,1930,M,Josep,298
ES,1930,M,Juan,2838
ES,1930,M,Juan Antonio,293
ES,1930,M,Juan Jose,340
ES,1930,M,Julian,515
ES,1930,M,Julio,469
ES,1930,M,Lorenzo,235
ES,1930,M,Luis,1340
ES,1930,M,Manuel,4134
ES,1930,M,Mariano,411
ES,1930,M,Miguel,1242
ES,1930,M,Pablo,312
ES,1930,M,Pedro,1474
ES,1930,M,Rafael,1041
ES,1930,M,Ramon,954
ES,1930,M,Ricardo,313
ES,1930,M,Salvador,436
ES,1930,M,Santiago,457
ES,1930,M,Sebastian,237
ES,1930,M,Tomas,436
ES,1930,M,Vicente,978
ES,1931,F,Amparo,828
ES,1931,F,Ana,1520
ES,1931,F,Ana Maria,940
ES,1931,F,Angela,808
ES,1931,F,Angeles,983
ES,1931,F,Antonia,2654
ES,1931,F,Asuncion,503
ES,1931,F,Aurora,592
ES,1931,F,Carmen,5898
ES,1931,F,Catalina,642
ES,1931,F,Concepcion,1911
ES,1931,F,Consuelo,791
ES,1931,F,Dolores,3074
ES,1931,F,Elena,493
ES,1931,F,Emilia,729
ES,1931,F,Encarnacion,1311
ES,1931,F,Esperanza,496
ES,1931,F,Felisa,549
ES,1931,F,Francisca,2734
ES,1931,F,Isabel,2570
ES,1931,F,Josefa,4240
ES,1931,F,Josefina,659
ES,1931,F,Juana,1704
ES,1931,F,Julia,976
ES,1931,F,Luisa,793
ES,1931,F,Manuela,1635
ES,1931,F,Margarita,806
ES,1931,F,Maria,6783
ES,1931,F,Maria Angeles,962
ES,1931,F,Maria Carmen,2973
ES,1931,F,Maria Concepcion,445
ES,1931,F,Maria Dolores,1209
ES,1931,F,Maria Jesus,548
ES,1931,F,Maria Josefa,695
ES,1931,F,Maria Luisa,1337
ES,1931,F,Maria Pilar,1376
ES,1931,F,Maria Rosa,483
ES,1931,F,Maria Teresa,1347
ES,1931,F,Matilde,470
ES,1931,F,Mercedes,1438
ES,1931,F,Milagros,521
ES,1931,F,Montserrat,526
ES,1931,F,Pilar,2102
ES,1931,F,Purificacion,514
ES,1931,F,Rosa,1609
ES,1931,F,Rosario,1445
ES,1931,F,Teresa,1702
ES,1931,F,Trinidad,453
ES,1931,F,Vicenta,627
ES,1931,F,Victoria,618
ES,1931,M,Agustin,418
ES,1931,M,Alberto,238
ES,1931,M,Alejandro,255
ES,1931,M,Alfonso,363
ES,1931,M,Andres,561
ES,1931,M,Angel,1230
ES,1931,M,Antonio,4601
ES,1931,M,Carlos,442
ES,1931,M,Daniel,224
ES,1931,M,Diego,301
ES,1931,M,Domingo,411
ES,1931,M,Eduardo,338
ES,1931,M,Emilio,540
ES,1931,M,Enrique,642
ES,1931,M,Eugenio,258
ES,1931,M,Felipe,302
ES,1931,M,Felix,478
ES,1931,M,Fernando,685
ES,1931,M,Francisco,3724
ES,1931,M,Gregorio,316
ES,1931,M,Ignacio,243
ES,1931,M,Jaime,366
ES,1931,M,Jesus,1198
ES,1931,M,Joaquin,695
ES,1931,M,Jose,6095
ES,1931,M,Jose Antonio,737
ES,1931,M,Jose Luis,820
ES,1931,M,Jose Manuel,276
ES,1931,M,Jose Maria,902
ES,1931,M,Josep,298
ES,1931,M,Juan,2838
ES,1931,M,Juan Antonio,293
ES,1931,M,Juan Jose,340
ES,1931,M,Julian,515
ES,1931,M,Julio,469
ES,1931,M,Lorenzo,235
ES,1931,M,Luis,1340
ES,1931,M,Manuel,4134
ES,1931,M,Mariano,411
ES,1931,M,Miguel,1242
ES,1931,M,Pablo,312
ES,1931,M,Pedro,1474
ES,1931,M,Rafael,1041
ES,1931,M,Ramon,954
ES,1931,M,Ricardo,313
ES,1931,M,Salvador,436
ES,1931,M,Santiago,457
ES,1931,M,Sebastian,237
ES,1931,M,Tomas,436
ES,1931,M,Vicente,978
ES,1932,F,Amparo,828
ES,1932,F,Ana,1520
ES,1932,F,Ana Maria,940
ES,1932,F,Angela,808
ES,1932,F,Angeles,983
ES,1932,F,Antonia,2654
ES,1932,F,Asuncion,503
ES,1932,F,Aurora,592
ES,1932,F,Carmen,5898
ES,1932,F,Catalina,642
ES,1932,F,Concepcion,1911
ES,1932,F,Consuelo,791
ES,1932,F,Dolores,3074
ES,1932,F,Elena,493
ES,1932,F,Emilia,729
ES,1932,F,Encarnacion,1310
ES,1932,F,Esperanza,496
ES,1932,F,Felisa,549
ES,1932,F,Francisca,2734
ES,1932,F,Isabel,2570
ES,1932,F,Josefa,4240
ES,1932,F,Josefina,658
ES,1932,F,Juana,1704
ES,1932,F,Julia,976
ES,1932,F,Luisa,793
ES,1932,F,Manuela,1635
ES,1932,F,Margarita,806
ES,1932,F,Maria,6783
ES,1932,F,Maria Angeles,962
ES,1932,F,Maria Carmen,2973
ES,1932,F,Maria Concepcion,445
ES,1932,F,Maria Dolores,1208
ES,1932,F,Maria Jesus,548
ES,1932,F,Maria Josefa,695
ES,1932,F,Maria Luisa,1337
ES,1932,F,Maria Pilar,1376
ES,1932,F,Maria Rosa,483
ES,1932,F,Maria Teresa,1347
ES,1932,F,Matilde,470
ES,1932,F,Mercedes,1438
ES,1932,F,Milagros,521
ES,1932,F,Montserrat,526
ES,1932,F,Pilar,2102
ES,1932,F,Purificacion,514
ES,1932,F,Rosa,1609
ES,1932,F,Rosario,1445
ES,1932,F,Teresa,1702
ES,1932,F,Trinidad,453
ES,1932,F,Vicenta,626
ES,1932,F,Victoria,618
ES,1932,M,Agustin,418
ES,1932,M,Alberto,238
ES,1932,M,Alejandro,255
ES,1932,M,Alfonso,363
ES,1932,M,Andres,561
ES,1932,M,Angel,1230
ES,1932,M,Antonio,4601
ES,1932,M,Carlos,442
ES,1932,M,Daniel,224
ES,1932,M,Diego,301
ES,1932,M,Domingo,411
ES,1932,M,Eduardo,338
ES,1932,M,Emilio,540
ES,1932,M,Enrique,642
ES,1932,M,Eugenio,258
ES,1932,M,Felipe,302
ES,1932,M,Felix,478
ES,1932,M,Fernando,685
ES,1932,M,Francisco,3724
ES,1932,M,Gregorio,316
ES,1932,M,Ignacio,243
ES,1932,M,Jaime,365
ES,1932,M,Jesus,1198
ES,1932,M,Joaquin,695
ES,1932,M,Jose,6094
ES,1932,M,Jose Antonio,737
ES,1932,M,Jose Luis,820
ES,1932,M,Jose Manuel,276
ES,1932,M,Jose Maria,902
ES,1932,M,Josep,298
ES,1932,M,Juan,2837
ES,1932,M,Juan Antonio,293
ES,1932,M,Juan Jose,340
ES,1932,M,Julian,515
ES,1932,M,Julio,469
ES,1932,M,Lorenzo,235
ES,1932,M,Luis,1340
ES,1932,M,Manuel,4134
ES,1932,M,Mariano,411
ES,1932,M,Miguel,1242
ES,1932,M,Pablo,312
ES,1932,M,Pedro,1473
ES,1932,M,Rafael,1041
ES,1932,M,Ramon,954
ES,1932,M,Ricardo,313
ES,1932,M,Salvador,436
ES,1932,M,Santiago,456
ES,1932,M,Sebastian,237
ES,1932,M,Tomas,436
ES,1932,M,Vicente,978
ES,1933,F,Amparo,828
ES,1933,F,Ana,1520
ES,1933,F,Ana Maria,940
ES,1933,F,Angela,808
ES,1933,F,Angeles,983
ES,1933,F,Antonia,2654
ES,1933,F,Asuncion,503
ES,1933,F,Aurora,592
ES,1933,F,Carmen,5897
ES,1933,F,Catalina,641
ES,1933,F,Concepcion,1911
ES,1933,F,Consuelo,790
ES,1933,F,Dolores,3074
ES,1933,F,Elena,493
ES,1933,F,Emilia,729
ES,1933,F,Encarnacion,1310
ES,1933,F,Esperanza,496
ES,1933,F,Felisa,549
ES,1933,F,Francisca,2734
ES,1933,F,Isabel,2570
ES,1933,F,Josefa,4240
ES,1933,F,Josefina,658
ES,1933,F,Juana,1703
ES,1933,F,Julia,976
ES,1933,F,Luisa,792
ES,1933,F,Manuela,1634
ES,1933,F,Margarita,806
ES,1933,F,Maria,6783
ES,1933,F,Maria Angeles,962
ES,1933,F,Maria Carmen,2973
ES,1933,F,Maria Concepcion,445
ES,1933,F,Maria Dolores,1208
ES,1933,F,Maria Jesus,548
ES,1933,F,Maria Josefa,694
ES,1933,F,Maria Luisa,1337
ES,1933,F,Maria Pilar,1376
ES,1933,F,Maria Rosa,483
ES,1933,F,Maria Teresa,1347
ES,1933,F,Matilde,470
ES,1933,F,Mercedes,1437
ES,1933,F,Milagros,521
ES,1933,F,Montserrat,526
ES,1933,F,Pilar,2102
ES,1933,F,Purificacion,513
ES,1933,F,Rosa,1609
ES,1933,F,Rosario,1445
ES,1933,F,Teresa,1702
ES,1933,F,Trinidad,453
ES,1933,F,Vicenta,626
ES,1933,F,Victoria,618
ES,1933,M,Agustin,418
ES,1933,M,Alberto,238
ES,1933,M,Alejandro,255
ES,1933,M,Alfonso,363
ES,1933,M,Andres,561
ES,1933,M,Angel,1230
ES,1933,M,Antonio,4601
ES,1933,M,Carlos,442
ES,1933,M,Daniel,223
ES,1933,M,Diego,301
ES,1933,M,Domingo,411
ES,1933,M,Eduardo,338
ES,1933,M,Emilio,540
ES,1933,M,Enrique,641
ES,1933,M,Eugenio,258
ES,1933,M,Felipe,302
ES,1933,M,Felix,478
ES,1933,M,Fernando,685
ES,1933,M,Francisco,3724
ES,1933,M,Gregorio,316
ES,1933,M,Ignacio,243
ES,1933,M,Jaime,365
ES,1933,M,Jesus,1198
ES,1933,M,Joaquin,695
ES,1933,M,Jose,6094
ES,1933,M,Jose Antonio,737
ES,1933,M,Jose Luis,820
ES,1933,M,Jose Manuel,276
ES,1933,M,Jose Maria,902
ES,1933,M,Josep,298
ES,1933,M,Juan,2837
ES,1933,M,Juan Antonio,293
ES,1933,M,Juan Jose,340
ES,1933,M,Julian,515
ES,1933,M,Julio,469
ES,1933,M,Lorenzo,235
ES,1933,M,Luis,1340
ES,1933,M,Manuel,4134
ES,1933,M,Mariano,411
ES,1933,M,Miguel,1241
ES,1933,M,Pablo,312
ES,1933,M,Pedro,1473
ES,1933,M,Rafael,1041
ES,1933,M,Ramon,954
